Id,OwnerUserId,CreationDate,ParentId,Score,Body
101000,442,2023-01-02,1000,50,This is an answer to question 1000. You should try checking the logs.
101001,261,2023-01-02,1001,24,This is an answer to question 1001. You should try checking the logs.
101002,458,2023-01-02,1002,2,This is an answer to question 1002. You should try checking the logs.
101003,363,2023-01-02,1003,40,This is an answer to question 1003. You should try checking the logs.
101004,415,2023-01-02,1004,42,This is an answer to question 1004. You should try checking the logs.
101005,147,2023-01-02,1005,28,This is an answer to question 1005. You should try checking the logs.
101006,277,2023-01-02,1006,25,This is an answer to question 1006. You should try checking the logs.
101007,348,2023-01-02,1007,44,This is an answer to question 1007. You should try checking the logs.
101008,411,2023-01-02,1008,45,This is an answer to question 1008. You should try checking the logs.
101009,460,2023-01-02,1009,35,This is an answer to question 1009. You should try checking the logs.
101010,334,2023-01-02,1010,27,This is an answer to question 1010. You should try checking the logs.
101011,94,2023-01-02,1011,33,This is an answer to question 1011. You should try checking the logs.
101012,467,2023-01-02,1012,40,This is an answer to question 1012. You should try checking the logs.
101013,47,2023-01-02,1013,18,This is an answer to question 1013. You should try checking the logs.
101014,409,2023-01-02,1014,33,This is an answer to question 1014. You should try checking the logs.
101015,447,2023-01-02,1015,29,This is an answer to question 1015. You should try checking the logs.
101016,176,2023-01-02,1016,1,This is an answer to question 1016. You should try checking the logs.
101017,23,2023-01-02,1017,5,This is an answer to question 1017. You should try checking the logs.
101018,170,2023-01-02,1018,46,This is an answer to question 1018. You should try checking the logs.
101019,66,2023-01-02,1019,1,This is an answer to question 1019. You should try checking the logs.
101020,272,2023-01-02,1020,40,This is an answer to question 1020. You should try checking the logs.
101021,15,2023-01-02,1021,32,This is an answer to question 1021. You should try checking the logs.
101022,497,2023-01-02,1022,44,This is an answer to question 1022. You should try checking the logs.
101023,180,2023-01-02,1023,7,This is an answer to question 1023. You should try checking the logs.
101024,231,2023-01-02,1024,36,This is an answer to question 1024. You should try checking the logs.
101025,403,2023-01-02,1025,7,This is an answer to question 1025. You should try checking the logs.
101026,339,2023-01-02,1026,20,This is an answer to question 1026. You should try checking the logs.
101027,93,2023-01-02,1027,30,This is an answer to question 1027. You should try checking the logs.
101028,151,2023-01-02,1028,47,This is an answer to question 1028. You should try checking the logs.
101029,130,2023-01-02,1029,8,This is an answer to question 1029. You should try checking the logs.
101030,62,2023-01-02,1030,30,This is an answer to question 1030. You should try checking the logs.
101031,466,2023-01-02,1031,43,This is an answer to question 1031. You should try checking the logs.
101032,183,2023-01-02,1032,26,This is an answer to question 1032. You should try checking the logs.
101033,12,2023-01-02,1033,46,This is an answer to question 1033. You should try checking the logs.
101034,397,2023-01-02,1034,16,This is an answer to question 1034. You should try checking the logs.
101035,16,2023-01-02,1035,15,This is an answer to question 1035. You should try checking the logs.
101036,289,2023-01-02,1036,6,This is an answer to question 1036. You should try checking the logs.
101037,368,2023-01-02,1037,4,This is an answer to question 1037. You should try checking the logs.
101038,277,2023-01-02,1038,27,This is an answer to question 1038. You should try checking the logs.
101039,409,2023-01-02,1039,46,This is an answer to question 1039. You should try checking the logs.
101040,156,2023-01-02,1040,44,This is an answer to question 1040. You should try checking the logs.
101041,340,2023-01-02,1041,25,This is an answer to question 1041. You should try checking the logs.
101042,144,2023-01-02,1042,20,This is an answer to question 1042. You should try checking the logs.
101043,333,2023-01-02,1043,38,This is an answer to question 1043. You should try checking the logs.
101044,343,2023-01-02,1044,39,This is an answer to question 1044. You should try checking the logs.
101045,439,2023-01-02,1045,0,This is an answer to question 1045. You should try checking the logs.
101046,377,2023-01-02,1046,45,This is an answer to question 1046. You should try checking the logs.
101047,226,2023-01-02,1047,16,This is an answer to question 1047. You should try checking the logs.
101048,218,2023-01-02,1048,15,This is an answer to question 1048. You should try checking the logs.
101049,272,2023-01-02,1049,13,This is an answer to question 1049. You should try checking the logs.
101050,350,2023-01-02,1050,24,This is an answer to question 1050. You should try checking the logs.
101051,131,2023-01-02,1051,30,This is an answer to question 1051. You should try checking the logs.
101052,68,2023-01-02,1052,19,This is an answer to question 1052. You should try checking the logs.
101053,484,2023-01-02,1053,23,This is an answer to question 1053. You should try checking the logs.
101054,82,2023-01-02,1054,24,This is an answer to question 1054. You should try checking the logs.
101055,461,2023-01-02,1055,9,This is an answer to question 1055. You should try checking the logs.
101056,217,2023-01-02,1056,8,This is an answer to question 1056. You should try checking the logs.
101057,294,2023-01-02,1057,35,This is an answer to question 1057. You should try checking the logs.
101058,407,2023-01-02,1058,25,This is an answer to question 1058. You should try checking the logs.
101059,260,2023-01-02,1059,13,This is an answer to question 1059. You should try checking the logs.
101060,464,2023-01-02,1060,13,This is an answer to question 1060. You should try checking the logs.
101061,316,2023-01-02,1061,31,This is an answer to question 1061. You should try checking the logs.
101062,414,2023-01-02,1062,19,This is an answer to question 1062. You should try checking the logs.
101063,233,2023-01-02,1063,37,This is an answer to question 1063. You should try checking the logs.
101064,384,2023-01-02,1064,6,This is an answer to question 1064. You should try checking the logs.
101065,88,2023-01-02,1065,31,This is an answer to question 1065. You should try checking the logs.
101066,376,2023-01-02,1066,31,This is an answer to question 1066. You should try checking the logs.
101067,262,2023-01-02,1067,12,This is an answer to question 1067. You should try checking the logs.
101068,95,2023-01-02,1068,40,This is an answer to question 1068. You should try checking the logs.
101069,106,2023-01-02,1069,50,This is an answer to question 1069. You should try checking the logs.
101070,232,2023-01-02,1070,28,This is an answer to question 1070. You should try checking the logs.
101071,206,2023-01-02,1071,21,This is an answer to question 1071. You should try checking the logs.
101072,207,2023-01-02,1072,32,This is an answer to question 1072. You should try checking the logs.
101073,169,2023-01-02,1073,24,This is an answer to question 1073. You should try checking the logs.
101074,416,2023-01-02,1074,35,This is an answer to question 1074. You should try checking the logs.
101075,488,2023-01-02,1075,26,This is an answer to question 1075. You should try checking the logs.
101076,410,2023-01-02,1076,3,This is an answer to question 1076. You should try checking the logs.
101077,74,2023-01-02,1077,15,This is an answer to question 1077. You should try checking the logs.
101078,412,2023-01-02,1078,46,This is an answer to question 1078. You should try checking the logs.
101079,431,2023-01-02,1079,17,This is an answer to question 1079. You should try checking the logs.
101080,491,2023-01-02,1080,24,This is an answer to question 1080. You should try checking the logs.
101081,182,2023-01-02,1081,5,This is an answer to question 1081. You should try checking the logs.
101082,259,2023-01-02,1082,38,This is an answer to question 1082. You should try checking the logs.
101083,477,2023-01-02,1083,27,This is an answer to question 1083. You should try checking the logs.
101084,493,2023-01-02,1084,9,This is an answer to question 1084. You should try checking the logs.
101085,342,2023-01-02,1085,46,This is an answer to question 1085. You should try checking the logs.
101086,163,2023-01-02,1086,22,This is an answer to question 1086. You should try checking the logs.
101087,465,2023-01-02,1087,22,This is an answer to question 1087. You should try checking the logs.
101088,258,2023-01-02,1088,8,This is an answer to question 1088. You should try checking the logs.
101089,56,2023-01-02,1089,31,This is an answer to question 1089. You should try checking the logs.
101090,204,2023-01-02,1090,22,This is an answer to question 1090. You should try checking the logs.
101091,253,2023-01-02,1091,41,This is an answer to question 1091. You should try checking the logs.
101092,461,2023-01-02,1092,18,This is an answer to question 1092. You should try checking the logs.
101093,191,2023-01-02,1093,4,This is an answer to question 1093. You should try checking the logs.
101094,427,2023-01-02,1094,35,This is an answer to question 1094. You should try checking the logs.
101095,121,2023-01-02,1095,23,This is an answer to question 1095. You should try checking the logs.
101096,125,2023-01-02,1096,10,This is an answer to question 1096. You should try checking the logs.
101097,482,2023-01-02,1097,23,This is an answer to question 1097. You should try checking the logs.
101098,384,2023-01-02,1098,38,This is an answer to question 1098. You should try checking the logs.
101099,496,2023-01-02,1099,8,This is an answer to question 1099. You should try checking the logs.
